256 455
217 168 136
216 167 135
216 167 135
217 168 136
217 168 136
217 168 136
218 169 137
217 168 136
217 168 136
216 167 135
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
216 167 135
217 168 136
217 168 136
217 168 136
217 168 136
217 168 136
218 169 137
218 169 137
218 169 137
217 168 136
217 168 136
218 169 137
218 169 137
218 169 137
217 168 136
218 169 137
218 169 137
218 169 137
218 169 137
218 169 137
218 169 137
218 169 137
218 169 137
218 169 137
218 169 137
218 169 137
219 170 138
218 169 137
218 169 137
220 171 139
218 169 137
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
218 169 137
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
218 169 137
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
219 170 138
218 169 137
219 170 138
220 171 139
219 170 138
219 170 138
220 171 139
220 171 139
220 171 139
219 170 138
220 171 139
220 171 139
221 172 140
221 172 140
219 170 138
219 170 138
219 170 138
220 171 139
